step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
135,0.01,0.001,600,-0.230931,-8.49213,-8.34494,0.146057,0.988943,0.0547609,1.06347,-0.160087,-0.162968,0,0.00799817,0.892749,8.10478,1870.43
136,0.01,0.001,600,-0.234801,-8.58624,-8.44057,0.145766,0.986032,0.0558958,1.2157,-0.142235,-0.145395,0,0.00874345,0.876085,8.16363,1882.23
137,0.01,0.001,600,-0.231456,-8.39764,-8.24726,0.149212,0.987446,0.0562439,1.14024,-0.140708,-0.14394,0,0.00907569,0.836262,8.33374,1894.05
138,0.01,0.001,600,-0.226267,-7.75849,-7.76503,-0.00847199,0.98873,0.0568786,0.985008,0.0153409,0.0125783,0,0.00890786,0.8401,8.05123,1905.67
139,0.01,0.001,600,-0.231099,-8.13939,-8.18949,-0.0506727,0.985932,0.0551057,1.2324,0.0514503,0.0486451,0,0.0084995,0.820029,7.97299,1917.18
140,0.01,0.001,600,-0.236019,-8.05592,-8.21125,-0.15668,0.986498,0.0524309,1.39902,0.14191,0.139201,0,0.0080221,0.843997,8.11697,1928.72
141,0.01,0.001,600,-0.239164,-8.26079,-8.373,-0.112857,0.986876,0.0542276,1.45273,0.129706,0.126986,0,0.0084967,0.837241,8.08959,1940.46
142,0.01,0.001,600,-0.233212,-8.13062,-8.15212,-0.0241682,0.984563,0.0532382,1.35514,0.0553197,0.0519922,0,0.00967121,0.843522,8.30416,1952.21
143,0.01,0.001,600,-0.223948,-8.23042,-8.04998,0.180143,0.988878,0.0529425,1.19564,-0.156593,-0.160117,0,0.00955809,0.820806,7.87883,1963.46
144,0.01,0.001,600,-0.227338,-8.07823,-8.04012,0.0362931,0.985418,0.051681,1.19183,-0.0146393,-0.0177143,0,0.0098345,0.804288,8.29829,1975.25
145,0.01,0.001,600,-0.223488,-7.86601,-7.72767,0.136725,0.987391,0.0536323,1.26856,-0.0467393,-0.0495345,0,0.00919613,0.81338,8.26166,1986.97
146,0.01,0.001,600,-0.238837,-7.97949,-8.20829,-0.228884,0.988486,0.0538943,1.03609,0.22272,0.219668,0,0.00807824,0.79972,8.27792,1998.78
147,0.01,0.001,600,-0.24348,-8.46257,-8.57709,-0.113934,0.984431,0.0627077,1.55759,0.12481,0.121709,0,0.007901,0.825839,8.44519,2010.77
148,0.01,0.001,600,-0.242422,-8.58812,-8.58061,0.00607719,0.987299,0.0492907,1.52602,-0.00653799,-0.00927521,0,0.00853264,0.813909,8.27129,2022.51
149,0.01,0.001,600,-0.243487,-8.53903,-8.62412,-0.0855166,0.987146,0.0530829,1.43527,0.100708,0.0975975,0,0.00859671,0.807843,8.18253,2034.05
150,0.01,0.001,600,-0.238385,-8.66269,-8.5463,0.115691,0.986306,0.0583246,1.33554,-0.136697,-0.139773,0,0.00942872,0.820009,7.66969,2045.46
151,0.01,0.001,600,-0.236275,-8.36676,-8.35426,0.0110271,0.988974,0.0505383,1.14464,0.00222871,-0.000674446,0,0.0079946,0.83608,7.55192,2056.51
152,0.01,0.001,600,-0.244199,-8.45665,-8.62352,-0.167592,0.986593,0.0540874,1.39604,0.167027,0.164456,0,0.00901879,0.811344,8.20684,2068.23
153,0.01,0.001,600,-0.245746,-8.76003,-8.92252,-0.165064,0.984681,0.0557754,1.62721,0.139786,0.136872,0,0.00926642,0.804431,8.52362,2080.16
154,0.01,0.001,600,-0.225333,-8.38579,-8.00217,0.383222,0.982272,0.0582433,1.23748,-0.402504,-0.406111,0,0.00906929,0.825958,8.12552,2091.59
155,0.01,0.001,600,-0.247849,-8.37599,-8.6322,-0.256414,0.979678,0.0578022,1.84473,0.262833,0.259141,0,0.00852178,0.812601,8.38831,2104.04
156,0.01,0.001,600,-0.235305,-8.41473,-8.38266,0.0304057,0.988416,0.0533237,1.10971,-0.0428727,-0.0462825,0,0.0084421,0.861807,7.95102,2115.89
